instance,operational_cost,loss_cost,objective_value,optimal_objective_value,feasible,mean_loss_load_over_demand,std_loss_load_over_demand,training_time,inference_time
142,2275.5674,104014.6875,106290.2548828125,35307.164,True,0.78118366,0.5354747,21.02605390548706,
143,2279.2693,89188.53515625,91467.80444335938,29737.432,True,0.21345222,0.6907422,21.02605390548706,
144,2274.2764,130525.1015625,132799.3779296875,52662.953,True,1.1689599,0.6082843,21.02605390548706,
145,2274.2764,125091.9609375,127366.2373046875,50566.53,True,1.1715591,0.6250677,21.02605390548706,
146,2274.2764,144633.0703125,146907.3466796875,58300.89,True,1.1596766,0.5647176,21.02605390548706,
147,2274.4175,85157.115234375,87431.53271484375,34581.277,True,1.2509578,0.90258104,21.02605390548706,
148,2276.1396,39449.419921875,41725.5595703125,13154.122,True,0.7258394,0.83927345,21.02605390548706,
149,2276.9165,53030.21484375,55307.13134765625,17681.807,True,0.5357672,0.86674035,21.02605390548706,
150,2274.2764,101378.390625,103652.6669921875,41499.133,True,1.2231007,0.76247346,21.02605390548706,
151,2274.3088,165060.41015625,167334.71899414062,66225.8,True,1.1258479,0.4938403,21.02605390548706,
152,2275.0496,157980.9375,160255.98706054688,57705.02,True,0.9578142,0.43875855,21.02605390548706,
153,2275.3005,108266.5078125,110541.80834960938,36094.605,True,0.8667919,0.4675644,21.02605390548706,
154,2277.7478,102595.265625,104873.01342773438,34206.45,True,0.5000777,0.36100283,21.02605390548706,
155,2274.4998,88202.94140625,90477.44116210938,34144.094,True,1.0341836,0.6054043,21.02605390548706,
156,2276.827,53293.95703125,55570.783935546875,17769.78,True,0.6692869,0.8934437,21.02605390548706,
157,2275.9558,135950.578125,138226.53393554688,45324.207,True,0.7989052,0.35246402,21.02605390548706,
158,2275.2856,156181.453125,158456.73876953125,52716.08,True,0.9219604,0.36876866,21.02605390548706,
159,2274.2764,138317.578125,140591.8544921875,55914.504,True,1.1678783,0.5885237,21.02605390548706,
160,2274.581,120557.90625,122832.4873046875,46864.42,True,1.1137863,0.6268517,21.02605390548706,
161,2274.2764,124948.58203125,127222.8583984375,50535.883,True,1.1953808,0.6564002,21.02605390548706,
162,2274.2764,151777.9921875,154052.2685546875,61336.496,True,1.1508685,0.5406856,21.02605390548706,
163,2274.2764,150252.73828125,152527.0146484375,60754.074,True,1.1437305,0.5341296,21.02605390548706,
164,2274.2874,210969.046875,213243.33422851562,84221.19,True,1.0694175,0.35197946,21.02605390548706,
165,2276.6873,67666.40625,69943.09350585938,22560.904,True,0.60697323,0.8165679,21.02605390548706,
166,2274.2764,202853.296875,205127.5732421875,81103.44,True,1.1068472,0.4093335,21.02605390548706,
167,2274.3992,92740.69921875,95015.09838867188,36757.03,True,1.1145822,0.6599734,21.02605390548706,
168,2277.1538,108914.109375,111191.26318359375,36312.055,True,0.5515653,0.6139511,21.02605390548706,
169,2275.2341,180501.7734375,182777.00756835938,63995.88,True,0.92119914,0.3494786,21.02605390548706,
170,2276.2375,90383.2265625,92659.46411132812,30133.854,True,0.78421646,0.6123099,21.02605390548706,
171,2275.701,150781.125,153056.82592773438,52110.96,True,0.8240245,0.4560106,21.02605390548706,
172,2276.8235,112422.1171875,114698.94067382812,37481.47,True,0.6673768,0.47153598,21.02605390548706,
173,2276.5447,113834.68359375,116111.22827148438,37952.094,True,0.6698916,0.49113476,21.02605390548706,
174,2274.2764,232126.078125,234400.3544921875,92470.2,True,1.0688938,0.33053088,21.02605390548706,
175,2274.2764,84074.8125,86349.0888671875,34606.492,True,1.321262,0.9671854,21.02605390548706,
176,2274.5024,163010.19140625,165284.69384765625,64669.51,True,1.0788883,0.48385426,21.02605390548706,
177,2275.6792,137221.72265625,139497.40185546875,49526.066,True,0.8305194,0.54424495,21.02605390548706,
178,2274.317,228280.359375,230554.67626953125,90674.016,True,1.0813594,0.35514203,21.02605390548706,
179,2275.3384,129419.15625,131694.49462890625,44805.773,True,0.8413393,0.3623605,21.02605390548706,
180,2275.2473,82263.046875,84538.29418945312,27425.865,True,0.8978679,0.6065698,21.02605390548706,
181,2275.3528,51306.57421875,53581.927001953125,17106.115,True,0.93154216,0.89800197,21.02605390548706,
182,2274.2764,140782.359375,143056.6357421875,56730.836,True,1.1657139,0.58060634,21.02605390548706,
183,2274.2764,112915.359375,115189.6357421875,45992.676,True,1.1998944,0.69453603,21.02605390548706,
184,2274.2764,168733.453125,171007.7294921875,68127.805,True,1.1157488,0.46841836,21.02605390548706,
185,2274.3992,164734.453125,167008.85229492188,65305.68,True,1.1005876,0.47552827,21.02605390548706,
186,2277.4277,102648.24609375,104925.673828125,34223.793,True,0.5249579,0.4213931,21.02605390548706,
187,2276.1702,142063.265625,144339.43579101562,47362.188,True,0.76438093,0.24306583,21.02605390548706,
188,2274.2764,140692.79296875,142967.0693359375,56960.887,True,1.1770085,0.5961493,21.02605390548706,
189,2276.633,120830.09765625,123106.73071289062,40284.22,True,0.6779783,0.3423728,21.02605390548706,
190,2275.5066,201969.46875,204244.97534179688,73810.84,True,0.88167256,0.39364752,21.02605390548706,
191,2274.2764,83297.54296875,85571.8193359375,34314.11,True,1.3088404,0.954231,21.02605390548706,
192,2276.4211,31385.9296875,33662.350830078125,10466.305,True,0.5248252,0.48679215,21.02605390548706,
193,2276.171,141704.84765625,143981.0185546875,47242.703,True,0.7275989,0.35837683,21.02605390548706,
194,2274.2764,112006.078125,114280.3544921875,45685.605,True,1.2052289,0.704017,21.02605390548706,
195,2274.5146,131746.72265625,134021.2373046875,52133.875,True,1.0705012,0.54989606,21.02605390548706,
196,2275.7468,191168.75390625,193444.50073242188,70421.97,True,0.8153996,0.42849067,21.02605390548706,
197,2274.2764,162617.53125,164891.8076171875,65581.97,True,1.1499444,0.52127063,21.02605390548706,
198,2276.7935,123520.8046875,125797.59814453125,41181.215,True,0.60045165,0.5664434,21.02605390548706,
199,2278.794,94934.1796875,97212.9736328125,31652.732,True,0.3428987,0.6210757,21.02605390548706,
200,2274.2764,100103.390625,102377.6669921875,40916.605,True,1.2478834,0.8008762,21.02605390548706,
