instance,operational_cost,optimal_var_cost,loss_cost,optimal_loss_cost,objective_value,optimal_objective_value,feasible,mean_loss_load_over_demand,std_loss_load_over_demand,training_time,inference_time
21,7053.394,7053.394,51352.6171875,21352.6171875,58406.01123046875,28406.01123046875,False,0.42353657,0.9890884,4.2727601528167725,0.0026175515670329333
22,7.5684156,7.5684156,55267.65234375,0.0,55275.220759391785,7.568415641784668,False,0.39667428,0.70881736,4.2727601528167725,0.0026175515670329333
23,14030.672,14030.672,70197.193359375,40197.1962890625,84227.865234375,54227.8681640625,False,0.5526372,0.71911573,4.2727601528167725,0.0026175515670329333
24,5.027425,5.027425,54992.05078125,0.0,54997.07820606232,5.0274248123168945,False,0.43944693,0.9356276,4.2727601528167725,0.0026175515670329333
25,12144.46,12144.46,64348.283203125,34348.283203125,76492.7431640625,46492.7431640625,False,0.47002777,0.8339342,4.2727601528167725,0.0026175515670329333
26,7.000223,7.000223,63856.79296875,0.0,63863.79319190979,7.000223159790039,False,0.4553814,0.85163844,4.2727601528167725,0.0026175515670329333
27,11869.674,11869.674,64164.392578125,34164.392578125,76034.06640625,46034.06640625,False,0.45578057,0.84931827,4.2727601528167725,0.0026175515670329333
28,6792.532,6792.532,51183.57421875,19691.677734375,57976.1064453125,26484.2099609375,False,0.42944652,0.98510617,4.2727601528167725,0.0026175515670329333
29,11855.78,11855.78,58428.1875,28428.1904296875,70283.9677734375,40283.970703125,False,0.49329156,0.85210615,4.2727601528167725,0.0026175515670329333
30,11848.558,11848.558,63109.01953125,33109.01953125,74957.5771484375,44957.5771484375,False,0.4619869,0.849805,4.2727601528167725,0.0026175515670329333
31,2205.3242,2205.3242,61987.365234375,0.0,64192.689453125,2205.32421875,False,0.44843268,0.87080204,4.2727601528167725,0.0026175515670329333
32,8083.629,8083.629,60939.08203125,0.0,69022.7109375,8083.62890625,False,0.45681491,0.86970437,4.2727601528167725,0.0026175515670329333
33,9270.644,9270.644,60342.90234375,0.0,69613.5458984375,9270.6435546875,False,0.46051252,0.87030005,4.2727601528167725,0.0026175515670329333
34,6702.904,6702.904,49245.486328125,19245.486328125,55948.39013671875,25948.39013671875,False,0.43116832,1.0068456,4.2727601528167725,0.0026175515670329333
35,10750.913,10750.913,59394.43359375,29394.4306640625,70145.3466796875,40145.34375,False,0.46590117,0.8719791,4.2727601528167725,0.0026175515670329333
36,5.40291,5.40291,56571.46875,0.0,56576.871660232544,5.402910232543945,False,0.44570673,0.9151176,4.2727601528167725,0.0026175515670329333
37,10367.306,10367.306,61184.02734375,25216.4326171875,71551.3330078125,35583.73828125,False,0.44733346,0.87745404,4.2727601528167725,0.0026175515670329333
38,7235.7124,7235.7124,54229.763671875,24229.763671875,61465.47607421875,31465.47607421875,False,0.40129325,0.98106945,4.2727601528167725,0.0026175515670329333
39,281.84055,281.84055,56855.90625,0.0,57137.7467956543,281.8405456542969,False,0.44500932,0.913363,4.2727601528167725,0.0026175515670329333
40,6769.3594,6769.3594,53221.79296875,23221.79296875,59991.15234375,29991.15234375,False,0.38872635,1.0037199,4.2727601528167725,0.0026175515670329333
41,1474.9069,1474.9069,54871.447265625,0.0,56346.35412597656,1474.9068603515625,False,0.4116092,0.96459985,4.2727601528167725,0.0026175515670329333
42,7217.151,7217.151,51318.73828125,21318.73681640625,58535.88916015625,28535.8876953125,False,0.431359,0.981651,4.2727601528167725,0.0026175515670329333
43,10986.51,10986.51,66196.08984375,36196.08984375,77182.599609375,47182.599609375,False,0.4255439,0.86744726,4.2727601528167725,0.0026175515670329333
44,11795.8,11795.8,61330.83984375,31330.8427734375,73126.6396484375,43126.642578125,False,0.4725128,0.8512455,4.2727601528167725,0.0026175515670329333
45,8452.659,8452.659,61673.49609375,0.0,70126.1552734375,8452.6591796875,False,0.44496506,0.8764165,4.2727601528167725,0.0026175515670329333
46,3.1454978,3.1454978,47040.0439453125,0.0,47043.18944311142,3.1454977989196777,False,0.35670444,1.1114597,4.2727601528167725,0.0026175515670329333
47,6103.048,6103.048,50103.9140625,20103.9169921875,56206.9619140625,26206.96484375,False,0.3863703,1.0409324,4.2727601528167725,0.0026175515670329333
48,6126.9966,6126.9966,62386.6875,0.0,68513.68408203125,6126.99658203125,False,0.44847226,0.8680724,4.2727601528167725,0.0026175515670329333
49,10612.665,10612.665,59438.9296875,29438.9267578125,70051.5947265625,40051.591796875,False,0.46265775,0.8748842,4.2727601528167725,0.0026175515670329333
50,3.5562367,3.5562367,48875.9501953125,0.0,48879.50643205643,3.556236743927002,False,0.38576093,1.0570312,4.2727601528167725,0.0026175515670329333
